Date,TransactionID,CustomerID,Revenue
2025-11-01,T001,C001,80.0
2025-11-01,T002,,50.0
2025-11-01,T003,C003,30.0
2025-11-01,T004,,45.0
2025-11-01,T005,C002,60.0
2025-11-02,T006,C002,55.0
2025-11-02,T007,,30.0
2025-11-02,T008,,25.0
2025-11-02,T009,C003,95.0
2025-11-02,T010,C001,85.0
2025-11-02,T011,,40.0
2025-11-02,T012,C005,60.0
2025-11-03,T013,,20.0
2025-11-03,T014,C003,100.0
2025-11-03,T015,C005,50.0
2025-11-03,T016,,30.0
2025-11-04,T017,C004,110.0
2025-11-04,T018,,45.0
2025-11-04,T019,,35.0
2025-11-04,T020,C002,60.0
2025-11-04,T021,,20.0
2025-11-04,T022,C003,90.0
2025-11-05,T023,C001,75.0
2025-11-05,T024,,40.0
2025-11-05,T025,,55.0
2025-11-05,T026,C004,100.0
2025-11-05,T027,C002,30.0
2025-11-05,T028,,50.0
2025-11-05,T029,C003,90.0
2025-11-05,T030,,80.0
2025-11-06,T031,,60.0
2025-11-06,T032,C004,130.0
2025-11-06,T033,,70.0
2025-11-06,T034,C001,95.0
2025-11-06,T035,,40.0
2025-11-06,T036,C005,85.0
2025-11-06,T037,,55.0
2025-11-06,T038,C003,90.0
2025-11-06,T039,,45.0
2025-11-07,T040,,20.0
2025-11-07,T041,C005,50.0
2025-11-07,T042,,30.0
2025-11-07,T043,C002,90.0
2025-11-07,T044,,45.0
2025-11-07,T045,C003,100.0
2025-11-07,T046,,25.0
